id,methodarea,researcharea
1276,"{""1""}","{""1"",""2"",""7"",""9"",""10""}"
1277,"{""1""}","{""1"",""3""}"
1278,"{""2""}","{""4""}"
1279,"{""1""}","{""1""}"
1280,"{""1""}","{""1"",""4"",""5""}"
1281,"{""2"",""4"",""5""}","{""2"",""7"",""9""}"
1282,"{""1""}","{""1""}"
1283,"{""1""}","{""1"",""4""}"
1284,"{""1""}","{""1""}"
1285,"{""1""}","{""1""}"
1286,"{""1""}","{""1""}"
1287,"{""1""}","{""1"",""7""}"
1288,"{""3"",""4""}","{""2"",""10""}"
1289,"{""1""}","{""1"",""10""}"
1290,"{""2"",""4""}","{""5""}"
1291,"{""2""}","{""3"",""7""}"
1292,"{""4""}","{""10""}"
1293,"{""1""}","{""1"",""3""}"
1294,"{""1"",""4""}","{""7"",""9""}"
1295,"{""1""}","{""1"",""7"",""10""}"
1296,"{""2""}","{""1""}"
1297,"{""2""}","{""4""}"
1298,"{""1"",""2""}","{""1"",""4""}"
1299,"{""1""}","{""1"",""3""}"
1300,"{""1""}","{""1"",""2"",""3"",""4"",""5""}"
1301,"{""1""}","{""4""}"
1302,"{""1""}","{""1"",""3""}"
1303,"{""1""}","{""1""}"
1304,"{""1""}","{""1"",""2"",""7""}"
1305,"{""1"",""2""}","{""3"",""4""}"
1306,"{""1""}","{""1"",""7""}"
1307,"{""1"",""2""}","{""2""}"
1308,"{""3"",""5""}","{""4"",""5""}"
1309,"{""1""}","{""1""}"
1310,"{""1""}","{""1"",""4""}"
1311,"{""1"",""3""}","{""1"",""2"",""4"",""5"",""9""}"
1312,"{""1""}","{""1"",""4""}"
1313,"{""1""}","{""1"",""4""}"
1314,"{""3"",""4"",""5""}","{""2"",""9""}"
1315,"{""3"",""4""}","{""4"",""5""}"
1316,"{""1"",""2""}","{""3""}"
1317,"{""1""}","{""1"",""4""}"
1318,"{""1"",""2""}","{""4"",""5"",""7""}"
1319,"{""1"",""4""}","{""1"",""2"",""7"",""9""}"
1320,"{""1""}","{""1""}"
1321,"{""1"",""4""}","{""1"",""7""}"
1322,{},{}
1323,"{""1""}","{""1"",""2"",""4""}"
1324,"{""1""}","{""1"",""3""}"
1325,"{""1""}","{""1""}"
1326,"{""2"",""4""}","{""5""}"
1327,"{""1""}",NULL
1328,"{""1"",""4""}","{""1"",""4"",""9""}"
1329,"{""1""}","{""1""}"
1330,"{""1""}","{""1""}"
1331,"{""1""}","{""1"",""4""}"
1332,"{""2""}","{""2""}"
1333,"{""2""}","{""3""}"
1334,"{""2""}","{""1"",""2"",""7""}"
1335,"{""2""}","{""2""}"
1336,"{""1""}","{""1""}"
1337,"{""1"",""4""}","{""1"",""4"",""7""}"
1338,"{""1""}","{""2""}"
1339,"{""1"",""3"",""4""}","{""2"",""4"",""7""}"
1340,"{""1""}","{""1"",""2""}"
1341,"{""1""}","{""1""}"
1342,"{""1""}","{""1"",""4""}"
1343,"{""1"",""4""}","{""1"",""4"",""7""}"
1344,"{""1""}","{""1"",""3""}"
1345,"{""1"",""3""}","{""1"",""10""}"
1346,"{""1""}","{""7"",""10""}"
1347,"{""1"",""5""}","{""1"",""4"",""9""}"
1348,"{""1""}","{""1""}"
1349,"{""1"",""2"",""3""}","{""1"",""4"",""5"",""7""}"
1350,"{""2""}","{""1"",""2""}"
1351,"{""1"",""2"",""4""}","{""2"",""7""}"
1352,"{""1""}","{""1"",""3"",""4""}"
1353,"{""1""}","{""1"",""4"",""5"",""7""}"
1354,"{""1""}","{""1"",""2"",""4"",""5"",""7""}"
1355,"{""1""}","{""3"",""4""}"
1356,"{""1""}","{""1""}"
1357,"{""1"",""2""}","{""2""}"
1358,"{""1""}","{""1"",""4"",""7""}"
1359,"{""1""}","{""1""}"
1360,"{""1""}","{""1"",""2"",""4""}"
1361,"{""4""}","{""5""}"
1362,"{""2"",""4"",""5""}","{""4"",""7"",""9""}"
1363,"{""1"",""5""}","{""1"",""5"",""9""}"
1364,"{""1""}","{""1"",""4""}"
1365,"{""1""}","{""1"",""4""}"
1366,"{""3""}","{""1""}"
1367,"{""1""}","{""1""}"
1368,"{""1""}","{""1"",""3""}"
1369,"{""4""}","{""2""}"
1370,"{""1"",""2""}","{""1"",""4"",""9""}"
1371,"{""1"",""4""}","{""1"",""2""}"
1372,"{""1""}","{""1""}"
1373,"{""1""}","{""1""}"
1374,"{""2"",""4""}","{""4"",""5"",""7""}"
1375,"{""2""}","{""4""}"
1376,"{""1""}","{""1"",""2""}"
1377,"{""1""}","{""2""}"
1378,"{""2"",""4""}","{""2""}"
1379,"{""1""}","{""1"",""3""}"
1380,"{""4""}","{""3""}"
1381,"{""1""}","{""1""}"
1382,"{""1""}","{""2"",""9""}"
1383,"{""1""}","{""3""}"
1384,"{""1""}","{""1"",""2"",""4"",""7""}"
1385,"{""1"",""2"",""4""}","{""5""}"
1386,"{""1""}","{""1""}"
1387,"{""1"",""4"",""5""}","{""2"",""4"",""7""}"
1388,"{""1"",""3""}","{""1"",""7""}"
1389,"{""1""}","{""1""}"
1390,"{""4""}","{""2""}"
1391,"{""1"",""3""}","{""1"",""5""}"
1392,"{""1""}","{""1"",""4""}"
1393,"{""1"",""2""}","{""5""}"
1394,"{""3""}","{""1"",""2""}"
1395,"{""1""}","{""1"",""3"",""4"",""7""}"
1396,"{""1"",""4""}","{""2""}"
1397,"{""1""}","{""1"",""4""}"
1398,"{""1""}","{""1"",""2"",""4""}"
1399,"{""4""}","{""2"",""7"",""10""}"
1400,"{""3""}","{""1"",""4""}"
1401,"{""1""}","{""1""}"
1402,"{""1""}","{""1""}"
1403,"{""2""}","{""2""}"
1404,"{""2"",""4""}","{""4""}"
1405,"{""4""}","{""2"",""7""}"
1406,"{""2""}","{""4""}"
1407,"{""1""}","{""1""}"
1408,"{""1""}","{""1""}"
1409,"{""2"",""4""}","{""2"",""5""}"
1410,"{""1""}","{""1"",""2"",""3"",""4""}"
1411,"{""1""}","{""1"",""2"",""4""}"
1412,"{""1"",""3""}","{""1""}"
1413,"{""1""}","{""1""}"
1414,"{""4""}","{""2"",""7""}"
1415,"{""1""}","{""1""}"
1416,"{""2"",""3""}","{""5""}"
1417,"{""1""}","{""4""}"
1418,"{""1""}","{""1"",""4""}"
1419,"{""1"",""2"",""4""}","{""1"",""2"",""7""}"
1420,"{""3""}",NULL
1421,"{""1"",""2""}","{""1"",""4""}"
1422,"{""1""}","{""1"",""4""}"
1423,"{""1""}","{""1"",""2"",""4"",""5""}"
1424,"{""1"",""2""}","{""1"",""4""}"
1425,"{""1""}","{""1"",""10""}"
1426,"{""2"",""3""}","{""1"",""2""}"
1427,"{""4""}","{""4"",""5""}"
1428,"{""1""}","{""1"",""3""}"
1429,"{""2"",""5""}","{""4"",""9""}"
1430,"{""3"",""4""}","{""2""}"
1431,"{""1""}","{""2"",""3"",""4""}"
1432,"{""1"",""2""}","{""3""}"
1433,"{""1"",""3"",""5""}","{""1"",""4"",""7"",""10""}"
1434,"{""4""}","{""4"",""5""}"
1435,"{""1""}",NULL
1436,"{""1"",""2"",""3""}","{""1""}"
1437,"{""1""}","{""1"",""10""}"
1438,"{""2""}","{""2""}"
1439,"{""1"",""2"",""3"",""4"",""5""}","{""1"",""9""}"
1440,"{""1"",""2"",""4""}","{""2""}"
1441,"{""1"",""3""}","{""1"",""2"",""4"",""7"",""10""}"
1442,"{""2"",""4""}","{""2"",""4""}"
1443,"{""1""}","{""1""}"
1444,"{""1""}","{""1"",""2""}"
1445,"{""1"",""4""}","{""1"",""4""}"
1446,"{""1""}","{""7"",""9""}"
1447,"{""1""}","{""1"",""9""}"
1448,"{""1""}","{""1"",""4""}"
1449,"{""2"",""3""}","{""1"",""5"",""7""}"
1450,"{""1"",""2"",""4"",""5""}","{""4"",""7"",""9"",""10""}"
1451,"{""1""}","{""1"",""2"",""4""}"
1452,"{""1""}","{""1"",""4""}"
1453,"{""1"",""4""}","{""1"",""2"",""4"",""7""}"
1454,"{""3""}","{""1""}"
1455,"{""3"",""4"",""5""}","{""5"",""9""}"
1456,"{""4""}","{""1"",""7"",""9""}"
1457,"{""1""}","{""1"",""2""}"
1458,"{""3""}","{""4""}"
1459,"{""4""}","{""2""}"
1460,"{""1""}","{""1"",""2"",""7""}"
1461,"{""1""}","{""1""}"
1462,"{""1""}","{""1"",""2"",""3""}"
1463,"{""1"",""3""}","{""1"",""2""}"
1464,"{""1""}","{""4"",""7"",""9""}"
1465,"{""1""}","{""7""}"
1466,"{""3""}","{""7"",""9""}"
1467,"{""1"",""2"",""5""}","{""4"",""9""}"
1468,"{""3""}","{""1"",""2"",""7""}"
1469,"{""1"",""3"",""5""}","{""4"",""5"",""9""}"
1470,"{""1"",""2""}","{""1"",""4"",""9""}"
1471,"{""1""}","{""1"",""3""}"
1472,"{""1"",""3"",""4"",""5""}","{""1"",""4"",""5"",""7"",""9""}"
1473,"{""1""}","{""7""}"
1474,"{""2"",""4"",""5""}","{""3"",""9"",""10""}"
1475,"{""2"",""3"",""4""}",NULL
1476,"{""1""}","{""1""}"
1477,"{""1""}","{""1""}"
1478,"{""1"",""2""}","{""1"",""2"",""4""}"
1479,"{""1"",""3""}","{""1"",""4"",""5""}"
1480,"{""1""}","{""1"",""7""}"
1481,"{""2"",""3"",""4"",""5""}","{""2"",""7""}"
1482,"{""2""}","{""1"",""5""}"
1483,"{""1"",""2""}","{""1"",""2""}"
1484,"{""2"",""4"",""5""}","{""4"",""7"",""9""}"
1485,"{""1"",""2"",""3""}","{""1"",""2"",""5""}"
1486,"{""1"",""3""}","{""1"",""2"",""4""}"
1487,"{""2"",""5""}","{""4""}"
1488,"{""1""}","{""3""}"
1489,"{""1"",""3"",""4""}","{""1"",""2"",""7"",""9""}"
1490,"{""1"",""2""}","{""1"",""2"",""4"",""7""}"
1491,"{""2"",""4""}","{""2"",""9""}"
1492,"{""1""}","{""1"",""10""}"
1493,"{""1""}","{""1"",""4""}"
1494,"{""1""}","{""1"",""4"",""10""}"
1495,"{""1""}","{""1"",""10""}"
1496,"{""1"",""4""}","{""2"",""3""}"
1497,"{""3""}","{""2"",""5"",""10""}"
1498,"{""2"",""4""}","{""1"",""9""}"
1499,"{""1"",""2"",""3"",""4"",""5""}","{""1"",""2"",""3"",""4"",""5"",""7"",""9""}"
1500,"{""1""}","{""1"",""2""}"
1501,"{""1"",""4"",""5""}","{""1"",""3"",""9""}"
1502,"{""1"",""4""}","{""4"",""9""}"
1503,"{""1""}","{""1""}"
1504,"{""1"",""3""}","{""2""}"
1505,"{""4""}","{""7""}"
1506,"{""2""}","{""1""}"
1507,"{""1"",""4""}","{""2"",""7""}"
1508,"{""1"",""4""}","{""1""}"
1509,"{""1""}","{""1""}"
1510,"{""1""}","{""1"",""9""}"
1511,"{""3"",""4""}","{""7""}"
1512,"{""1"",""2""}","{""1"",""3""}"
1513,"{""1""}","{""1""}"
1514,"{""1"",""3""}","{""1"",""7""}"
1515,"{""1"",""2"",""4"",""5""}","{""1"",""4"",""5"",""7""}"
1516,"{""1"",""2""}","{""1"",""3"",""7""}"
1517,"{""3"",""4"",""5""}","{""4"",""5""}"
1518,"{""1"",""5""}","{""1"",""7"",""9""}"
1519,"{""4""}","{""4"",""7"",""9""}"
1520,"{""1"",""2"",""5""}","{""4"",""5"",""9""}"
1521,"{""1"",""2""}","{""5"",""7"",""9""}"
1522,"{""5""}","{""5"",""9""}"
1523,"{""4"",""5""}","{""5"",""10""}"
1524,"{""3""}","{""4"",""5"",""9""}"
1525,"{""2"",""5""}","{""2"",""5""}"
1526,"{""2"",""4"",""5""}","{""2"",""5"",""9""}"
1527,"{""1""}","{""1""}"
1528,"{""1"",""4""}","{""2"",""7""}"
1529,"{""1"",""2"",""3""}","{""2"",""10""}"
1530,"{""1""}","{""1"",""3"",""4"",""9""}"
1531,"{""2"",""5""}","{""2"",""4"",""9""}"
1532,"{""1""}","{""1"",""4""}"
1533,"{""1"",""2""}","{""5"",""10""}"
1534,"{""1"",""4"",""5""}","{""2"",""5"",""7"",""9"",""10""}"
1535,"{""1"",""5""}","{""4"",""7"",""9""}"
1536,"{""2"",""3""}","{""2""}"
1537,"{""1""}","{""2"",""10""}"
1538,"{""2"",""4""}","{""5""}"
1539,"{""2"",""5""}","{""4"",""5"",""9""}"
1540,"{""2"",""3"",""4""}","{""5"",""10""}"
1541,"{""1"",""3""}","{""7""}"
1542,"{""1"",""4""}","{""1"",""4"",""10""}"
1543,"{""1"",""3""}","{""2"",""7""}"
1544,"{""1""}","{""1""}"
1545,"{""1"",""3""}","{""1""}"
1546,"{""2""}","{""1""}"
1547,"{""2"",""4"",""5""}","{""2"",""4"",""5"",""9""}"
1548,"{""1""}","{""1""}"
1549,"{""1"",""4""}","{""1"",""4""}"
1550,"{""1"",""2""}","{""2""}"
1551,"{""1"",""5""}","{""3"",""9""}"
1552,"{""1""}","{""1"",""9""}"
1553,"{""2"",""3""}","{""3"",""5"",""7""}"
1554,"{""1""}","{""1"",""4""}"
1555,"{""1"",""2"",""5""}","{""2"",""5"",""9""}"
1556,"{""1"",""2""}","{""2""}"
1557,"{""1"",""3""}","{""1"",""4""}"
1558,"{""1"",""3"",""4""}","{""3"",""4"",""7"",""10""}"
1559,"{""1"",""3""}","{""5"",""7"",""9""}"
1560,"{""3"",""4"",""5""}","{""2"",""7"",""10""}"
1561,"{""1"",""5""}","{""1"",""4"",""9""}"
1562,"{""1"",""3"",""4""}","{""7""}"
1563,"{""1"",""4""}","{""1""}"
1564,"{""3""}","{""1"",""10""}"
1565,"{""2"",""4""}","{""2"",""4"",""7"",""9""}"
1566,"{""3"",""4""}","{""2"",""10""}"
1567,"{""2"",""4""}","{""5"",""10""}"
